fecha;metodo;region;sexo;edad;estudios;imagen_massa;imagen_villarruel;imagen_macri;imagen_milei;imagen_bulrich;imagen_cfk;teme;votara_milei;votara_massa;ballotage_votara;P14;P15;general_voto;pondedad;pondestudios;pondedadestudios;pondZonapais;pondedadestudiosZonapais;pondestudios2;pondedadestudiosZonapaisestudios2;pondedad2;pondedadestudiosZonapaisestudios2edad2;pondsexo;pondedadestudiosZonapaisestudios2edad2sexo;pondZonapais2;pondedadestudiosZonapaisestudios2edad2sexoZonapais2;pondvotant;pondedadestudiosZonapaisestudios2edad2sexoZonapais2votant;pondest3;pondedadestudiosZonapaisestudios2edad2sexoZonapais2votantest3;IMAGEN_MASSA;IMAGEN_VILLARRUEL;IMAGEN_MACRI;IMAGEN_MILEI;IMAGEN_BULLRICH;IMAGEN_CFK
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país no tendrá muchos cambios respecto de la actualidad;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Primario, ya sea completo o incompleto;Muy positivo;Algo negativo;Algo negativo;Algo negativo;Algo negativo;Algo positivo;Que gane Sergio Massa;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;1.99424904462305;1.10768870596228;1.33236398167393;1.47584453473114;0.977250595570355;1.44226995053526;1.02151472734302;1.47329999527606;0.994415194355708;1.46507190114671;1.00153856484205;1.46732600926489;1.08834275989641;1.59695363859113;1.04559517198309;0.978409483176853;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Patricia Bullrich de Juntos por el cambio;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;0.923555974764576;0.382894719501805;0.994776393869599;0.380894628297717;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Secundario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;1.21386734889247;0.674232316435038;1.33236398167393;0.898322853698625;1.01894833299725;0.915344574269546;1.02151472734302;0.935037963209868;0.994415194355708;0.929815957915307;1.00153856484205;0.931246540057732;1.08834275989641;1.01351542955042;0.965362198393827;0.978409483176853;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;No sabe/No tiene opinión formada;Algo negativo;Algo negativo;Algo negativo;Algo negativo;Las dos posibilidades me dan el mismo miedo;Nunca lo votaría;Podría llegar a votarlo;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Patricia Bullrich de Juntos por el cambio;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;0.923555974764576;0.382894719501805;0.994776393869599;0.380894628297717;POSITIVA;NS/NC;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA
2023-11-19;IVR;Caba;Femenino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;1.48207554241363;0.548705637194426;0.813223204870345;1.33236398167393;1.08350930723069;1.00354176963286;1.08734684759196;0.938351259410849;1.02031328385433;0.994415194355708;1.01461503246771;1.00153856484205;1.01617608348489;1.08834275989641;1.10594788324066;0.994776393869599;1.10017084709786;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Masculino;Más de 50;Nivel Secundario, ya sea completo o incompleto;Algo positivo;No sabe/No tiene opinión formada;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Que gane Javier Milei;Nunca lo votaría;Podría llegar a votarlo;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Myriam Bregman del Frente de Izquierda;0.55544151265804;1.21386734889247;0.674232316435038;1.33236398167393;0.898322853698625;1.01894833299725;0.915344574269546;1.02151472734302;0.935037963209868;1.0061214290132;0.940761731726305;1.00153856484205;0.942209154651485;0.782655680433316;0.737425347044257;0.965362198393827;0.711882554173975;POSITIVA;NS/NC;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA
2023-11-19;IVR;Caba;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativo;No sabe/No tiene opinión formada;Algo positivo;No sabe/No tiene opinión formada;Algo positivo;Muy negativo;Que gane Sergio Massa;Podría llegar a votarlo;Seguro lo votaría;Sergio Massa;El país entrará en una crisis económica similar a la de Venezuela;No sabe // Está indeciso;Patricia Bullrich de Juntos por el cambio;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;1.0061214290132;0.418823580743126;1.00153856484205;0.419467967979479;0.923555974764576;0.387402148049804;0.994776393869599;0.385378511814321;NEGATIVA;NS/NC;POSITIVA;NS/NC;POSITIVA;NEGATIVA
2023-11-19;IVR;Caba;Femenino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy positivo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;1.48207554241363;0.548705637194426;0.813223204870345;1.33236398167393;1.08350930723069;1.00354176963286;1.08734684759196;0.938351259410849;1.02031328385433;0.994415194355708;1.01461503246771;1.00153856484205;1.01617608348489;1.08834275989641;1.10594788324066;0.994776393869599;1.10017084709786;POSITIVA;NEGATIVA;NEGATIVA;POSITIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Masculino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;1.48207554241363;0.548705637194426;0.813223204870345;1.33236398167393;1.08350930723069;1.00354176963286;1.08734684759196;0.938351259410849;1.02031328385433;1.0061214290132;1.02655905919267;1.00153856484205;1.02813848686943;1.08834275989641;1.1189670783552;0.994776393869599;1.11312203506498;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;1.48207554241363;0.548705637194426;0.813223204870345;1.33236398167393;1.08350930723069;1.00354176963286;1.08734684759196;0.938351259410849;1.02031328385433;0.994415194355708;1.01461503246771;1.00153856484205;1.01617608348489;1.08834275989641;1.10594788324066;0.994776393869599;1.10017084709786;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país no tendrá muchos cambios respecto de la actualidad;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;1.48207554241363;0.548705637194426;0.813223204870345;1.33236398167393;1.08350930723069;1.00354176963286;1.08734684759196;0.938351259410849;1.02031328385433;0.994415194355708;1.01461503246771;1.00153856484205;1.01617608348489;1.08834275989641;1.10594788324066;0.994776393869599;1.10017084709786;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Masculino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;1.48207554241363;0.548705637194426;0.813223204870345;1.33236398167393;1.08350930723069;1.00354176963286;1.08734684759196;0.938351259410849;1.02031328385433;1.0061214290132;1.02655905919267;1.00153856484205;1.02813848686943;1.08834275989641;1.1189670783552;0.994776393869599;1.11312203506498;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;30-49;Nivel Primario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;1.48207554241363;1.99424904462305;2.95562773451757;1.33236398167393;3.93797193670773;0.977250595570355;3.84838542048697;0.938351259410849;3.6111373060123;0.994415194355708;3.59096980600337;1.00153856484205;3.59649474589575;1.08834275989641;3.91421901770112;1.04559517198309;0.454140219557006;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Masculino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;1.48207554241363;0.548705637194426;0.813223204870345;1.33236398167393;1.08350930723069;1.00354176963286;1.08734684759196;0.938351259410849;1.02031328385433;1.0061214290132;1.02655905919267;1.00153856484205;1.02813848686943;1.08834275989641;1.1189670783552;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo negativo;No sabe/No tiene opinión formada;Muy negativo;Muy negativo;Muy negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Podría llegar a votarlo;Sergio Massa;No sabe // Está indeciso;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;1.48207554241363;0.548705637194426;0.813223204870345;1.33236398167393;1.08350930723069;1.00354176963286;1.08734684759196;0.938351259410849;1.02031328385433;0.994415194355708;1.01461503246771;1.00153856484205;1.01617608348489;1.08834275989641;1.10594788324066;0.994776393869599;0.448856292762251;NEGATIVA;NS/NC;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo negativo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Patricia Bullrich de Juntos por el cambio;1.48207554241363;0.548705637194426;0.813223204870345;1.33236398167393;1.08350930723069;1.00354176963286;1.08734684759196;0.938351259410849;1.02031328385433;0.994415194355708;1.01461503246771;1.00153856484205;1.01617608348489;0.923555974764576;0.938495493315332;0.994776393869599;0.933593162503097;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA
2023-11-19;IVR;Caba;Masculino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;No sabe/No tiene opinión formada;Muy negativo;Muy negativo;Algo negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Podría llegar a votarlo;Sergio Massa;El país no tendrá muchos cambios respecto de la actualidad;El país entrará en una crisis económica, social y política;Myriam Bregman del Frente de Izquierda;1.48207554241363;0.548705637194426;0.813223204870345;1.33236398167393;1.08350930723069;1.00354176963286;1.08734684759196;0.938351259410849;1.02031328385433;1.0061214290132;1.02655905919267;1.00153856484205;1.02813848686943;0.782655680433316;0.804678427020475;0.994776393869599;0.800475103856089;POSITIVA;NS/NC;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Masculino;24-29;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo negativo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;1.47929057718103;0.548705637194426;0.811695078747827;1.33236398167393;1.08147328702559;1.00354176963286;1.08530361627233;1.03020956342626;1.11809016470485;1.0061214290132;1.12493447427845;1.00153856484205;1.12666525891019;1.08834275989641;1.22619797736172;0.994776393869599;1.21979280209008;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA
2023-11-19;IVR;Caba;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy positivo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;No sabe // Está indeciso;El país entrará en una crisis económica, social y política;Patricia Bullrich de Juntos por el cambio;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;1.0061214290132;0.418823580743126;1.00153856484205;0.419467967979479;0.923555974764576;0.387402148049804;0.994776393869599;0.385378511814321;POSITIVA;NEGATIVA;NEGATIVA;POSITIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;1.0061214290132;0.418823580743126;1.00153856484205;0.419467967979479;1.08834275989641;0.456524925958925;0.994776393869599;0.454140219557006;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA
